Source_name,Components,RA,DEC,error,r39,r39err,TS,N0,N0err,gamma,gamma_err,TS100,Asso,Sep
1LHAASOJ1740+0948u ,KM2A,265.03,9.81,0.07,0.11,0,156.2,0.41,0.04,3.13,0.15,37.2,3HWC J1739+099,0.13
1LHASSOJ1813-1245,KM2A,273.36,-12.75,0.22,0.31,0,42.2,1.42,0.27,3.66,0.34,,HESS J1813-126,0.007
1LHAASSOJ1814-1719u*,KM2A,273.27,-17.89,0.17,0.27,0,59.3,4.2,0.75,3.49,0.31,41,,
1LHAASOJ1814-1636u,KM2A,273.72,-16.62,0.3,0.68,0.08,132.2,11.9,1.3,3.74,0.2,50.4,2HWC J1814-173,0.72
1LHAASOJ1825-1418,KM2A,276.25,-14,0.43,0.81,0.1,68.9,7.26,0.98,3.53,0.18,,HESS J1825-137,0.56
 1LHAASO J1825-1256u , KM2A ,276.44,-12.94,0.08,0,0.2,259.2,5.08,0.42,3.33,0.13,121,   HESS J1826-130        (0.14) ,
1LHAASOJ1825-1337u,KM2A,276.45,-13.63,0.05,0.18,0,453.7,10.1,0.61,3.28,0.09,249.6,HESS J1825-137,0.15
1LHAASOJ1831-1007u*,KM2A,277.81,-9.83,0.12,0.26,0.05,125.4,2.56,0.27,3.3,0.14,53.3,HESS J1831-098,0.25
1LHAASOJ1831-1028,KM2A,277.84,-10.48,0.39,0.94,9,100,5.39,0.6,3.53,0.15,,HESS J1833-105,0.55
1LHAASOJ1834-0831,KM2A,278.44,-8.38,0.28,0.4,0.07,68.9,1.55,0.21,3.63,0.21,,,
1LHAASOJ1837-0654u,KM2A,279.31,-6.86,0.09,0.33,0.04,331.2,3.06,0.21,3.7,0.12,25,,
