NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC150102A,125796,16042897,06:36.9,57024.79626,gfu-bronze,318.74,2.91,3.96,1.27,0.34,0.49,126,3.38,0.317,1.02E-07,3.07E-06,0.00297,1.44E-05,0.997,FALSE
IC150104A,125800,83097666,34:31.1,57026.39897,gfu-bronze,272.11,28.76,1.71,1.54,2.41,1.86,133,1.13,0.448,1.82E-11,8.34E-09,9.18E-08,3.79E-06,1,FALSE
IC150118A,125929,11025256,13:36.9,57040.50945,gfu-bronze,152.53,4.33,1.54,2.72,0.71,0.86,156,2.3,0.374,7.83E-10,1.70E-09,0.000236,7.89E-06,1,FALSE
IC150119A,125934,55750717,50:58.4,57041.36873,gfu-bronze,286.92,6.43,1.36,1.27,0.6,0.53,140,2.76,0.347,2.40E-09,3.89E-10,0.00424,4.02E-06,0.996,FALSE
IC150120A,125940,7449833,37:54.9,57042.98466,gfu-bronze,95.89,14.13,1.19,1.36,0.5,0.5,113,2.35,0.336,1.58E-07,3.02E-09,0.0358,1.03E-05,0.964,FALSE
IC150127A,125968,61389842,33:00.1,57049.48125,gfu-gold,100.37,4.59,1.36,1.63,0.79,0.67,293,0.44,0.661,1.18E-06,2.74E-08,0.194,4.38E-05,0.806,FALSE
IC150129A,125973,80686964,27:30.7,57051.22744,gfu-bronze,358.51,6.39,3.91,6.55,3.16,3.67,130,2.88,0.334,3.63E-07,6.97E-07,0.000897,0.00039,0.999,FALSE
IC150224A,126082,40384770,59:26.6,57077.99961,gfu-bronze,237.75,55.11,8.26,2.26,3.38,3.03,106,0.64,0.379,4.21E-06,3.14E-10,1,2.94E-10,8.95E-09,FALSE
IC150313A,126148,74589372,41:37.9,57094.32058,gfu-bronze,127.05,-3.36,1.76,2.07,0.75,0.75,107,3.78,0.292,1.53E-07,1.12E-10,1,9.70E-09,5.36E-07,FALSE
IC150428A,126308,20883844,10:43.7,57140.59078,gfu-bronze,31.07,15.02,4.04,6.42,1.94,1.42,109,2.58,0.321,1.47E-09,8.40E-08,5.61E-06,1.05E-05,1,FALSE
IC150515A,126370,61611641,35:50.9,57157.94156,gfu-gold,91.49,12.14,0.92,0.75,0.53,0.5,401,0.56,0.768,1.69E-06,3.75E-12,1,1.02E-10,2.13E-08,FALSE
IC150526A,126405,50771014,24:27.0,57168.01698,gfu-bronze,139.79,-1.49,2.46,2.99,0.9,1.01,108,4.2,0.282,1.30E-08,5.03E-07,1.58E-05,0.000109,1,FALSE
IC150601A,126423,50123696,26:11.9,57174.01819,gfu-bronze,333.37,9.63,2.42,1.71,1.21,1.17,106,3.58,0.27,8.23E-08,3.57E-07,4.87E-05,6.92E-06,1,FALSE
IC150609A,126456,1581608,38:11.5,57182.02652,gfu-bronze,49.53,0.3,1.1,1.1,0.45,0.82,118,3.49,0.313,2.47E-05,1.18E-05,0.000206,0.0057,0.994,FALSE
IC150609B,126456,35956042,19:25.3,57182.18015,gfu-bronze,245.43,0.22,1.67,1.23,1.04,0.93,116,3.63,0.305,3.16E-05,5.47E-10,1,9.85E-09,1.34E-05,FALSE
IC150625A,126514,73786337,21:31.3,57198.63995,gfu-bronze,71.89,0.86,4.35,4.7,2.39,1.83,112,3.99,0.286,4.67E-09,8.20E-08,4.74E-05,4.30E-06,1,FALSE
IC150625B,126515,20091930,33:30.8,57198.73161,gfu-bronze,306.43,19.08,2.02,2.02,0.91,1.18,154,1.61,0.456,2.15E-09,1.19E-08,0.00123,1.78E-06,0.999,FALSE
IC150714A,126620,19175993,49:59.5,57217.90972,gfu-gold,326.29,26.36,1.49,1.32,1.89,2.19,439,0.45,0.841,1.21E-09,6.38E-07,5.60E-05,1.42E-05,1,FALSE
IC150809A,126703,23477554,43:40.3,57243.32199,gfu-bronze,221.75,-17.15,0.31,0.26,0.23,0.16,11667,0.29,0.199,1.67E-05,6.60E-06,0.000699,0.000186,0.999,TRUE
IC150812A,126717,29833358,37:34.5,57246.31776,gfu-bronze,317.59,30.09,5.1,4.66,2.31,2.43,125,1.24,0.439,4.58E-14,1.03E-08,5.18E-10,2.35E-07,1,FALSE
IC150812B,126718,53509959,13:05.4,57246.75909,gfu-gold,328.27,6.17,0.75,0.88,0.49,0.53,508,0.32,0.831,1.53E-06,1.20E-07,0.00212,1.86E-05,0.998,FALSE
IC150823A,126769,62990844,56:32.4,57257.6226,gfu-bronze,325.9,-2.35,3.47,4.17,2.61,2.09,133,2.67,0.35,3.27E-09,8.54E-08,0.000118,5.73E-06,1,FALSE
IC150831A,126798,67205547,13:39.3,57265.21782,gfu-gold,54.76,34,0.92,0.92,1.13,1.21,181,0.61,0.579,5.26E-08,5.11E-10,1,6.71E-11,6.33E-06,FALSE
IC150904A,126812,38566267,13:54.7,57269.75966,gfu-gold,133.77,28.08,0.53,0.88,0.51,0.55,302,0.5,0.741,1.21E-11,2.34E-07,2.25E-06,4.40E-05,1,FALSE
IC150914A,126848,8902133,59:54.3,57279.87493,gfu-bronze,129.68,30.35,1.89,2.59,1.88,1.29,120,1.37,0.426,8.45E-09,4.42E-07,0.0226,7.45E-06,0.977,FALSE
IC150918A,126860,17477746,05:49.6,57283.54571,gfu-bronze,49.83,-2.95,2.5,3.74,1.35,1.34,105,4.1,0.28,1.30E-08,2.27E-11,1,2.46E-10,5.60E-07,FALSE
IC150919A,126863,14025085,56:09.4,57284.20566,gfu-gold,279.54,30.35,1.76,2.29,2.19,1.5,228,0.53,0.674,1.31E-07,4.30E-08,1,3.55E-12,3.47E-06,FALSE
IC150923A,126878,30560694,38:34.7,57288.02679,ehe-gold,103.23,3.96,0.7,1.14,0.6,0.75,216,1.55,0.334,2.00E-08,2.33E-08,3.81E-05,5.64E-06,1,FALSE
IC150926A,126911,6416344,37:42.8,57291.90119,ehe-gold,194.55,-4.56,0.79,1.23,0.93,0.64,216,1.5,0.296,6.44E-07,1.26E-05,2.64E-05,0.000106,1,FALSE
IC151013A,126976,9961785,59:09.3,57308.12441,gfu-bronze,178.72,52.37,1.11,1.15,1.11,1.11,156,0.3,0.516,3.65E-17,7.32E-11,6.73E-08,2.16E-06,1,FALSE
IC151017A,126989,59479399,13:03.0,57312.67573,gfu-gold,197.53,19.95,2.46,2.72,3.01,2.29,321,0.67,0.754,1.80E-08,2.38E-12,1,4.81E-13,2.84E-09,FALSE
IC151114A,127112,69211097,57:49.0,57340.87348,gfu-gold,76.16,12.71,1.36,1.36,0.65,0.73,1124,0.27,0.957,1.74E-06,7.10E-12,1,3.21E-14,1.51E-11,FALSE
IC151122A,127154,9907321,45:31.1,57348.53161,gfu-gold,262.05,-2.24,0.88,1.05,0.63,0.67,253,0.54,0.637,1.35E-05,1.02E-06,0.0181,4.01E-05,0.982,FALSE
IC160104A,127357,17650073,39:08.1,57391.44384,gfu-gold,79.41,5,0.83,0.75,0.86,0.97,217,0.9,0.566,1.87E-05,7.48E-06,0.0026,0.00507,0.992,FALSE
IC160128A,127495,54505431,24:10.8,57415.18346,ehe-gold,263.76,-14.9,1.1,1.8,1.08,1.2,583,0.58,0.146,1.69E-07,6.32E-07,1.24E-05,1.34E-05,1,FALSE
IC160225A,127603,48070937,07:46.0,57443.88039,gfu-gold,311.87,60.06,2.18,1.78,1.65,1.37,188,0.15,0.596,9.66E-09,3.85E-11,1,2.32E-10,7.19E-06,FALSE
IC160307A,127650,18431575,43:11.2,57454.69666,gfu-bronze,91.32,10.47,7.08,8.66,2.74,4.45,106,3.15,0.28,1.40E-10,2.53E-05,5.38E-06,1.39E-07,1,FALSE
IC160331A,127742,55820225,33:50.8,57478.56517,gfu-gold,151.22,15.48,0.66,0.66,0.66,0.73,492,0.46,0.851,2.39E-10,5.40E-10,0.000168,5.57E-07,1,FALSE
