NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC110514A,118178,17334444,32:22.7,55695.06415,gfu-gold,138.47,-1.94,6.68,3.78,0.97,1.12,187,1.3,0.508,3.46E-07,4.48E-07,0.0811,4.65E-05,0.919,FALSE
IC110610A,118309,46569873,13:33.1,55722.42608,gfu-gold,272.55,35.64,1.67,2.42,1.3,1.05,294,0.25,0.75,3.37E-10,3.99E-11,1.20E-06,0.000129,1,FALSE
IC110616A,118342,24578488,30:53.9,55728.72979,gfu-bronze,71.15,5.38,1.41,2.07,0.79,0.9,109,4.34,0.257,7.82E-09,1.32E-07,5.16E-05,1.83E-05,1,FALSE
IC110714A,118435,58198553,42:41.9,55756.11298,hese-gold,68.2,40.67,0.31,1.1,0.44,0.44,72,0.11,0.778,4.33E-05,1.10E-05,0.876,1.81E-05,0.124,FALSE
IC110726A,118475,52691508,15:33.3,55768.5108,gfu-bronze,151.08,6.99,1.19,1.71,0.98,0.83,160,1.92,0.396,0.05,1.39E-06,0.946,0.000202,0.00382,FALSE
IC110807A,118539,54350726,30:46.5,55780.9797,gfu-bronze,336.8,1.53,1.36,1.98,0.93,0.78,108,4.45,0.266,6.02E-07,3.43E-08,0.00188,8.68E-05,0.998,FALSE
IC110818A,118576,45696357,31:38.8,55791.68864,gfu-bronze,332.45,-2.09,0.97,1.23,0.93,0.9,123,2.85,0.34,3.01E-06,5.15E-12,1,1.14E-09,3.38E-07,FALSE
IC110902A,118631,36844560,12:46.3,55806.0922,gfu-gold,9.76,7.59,2.86,1.32,0.87,0.86,243,0.74,0.609,2.21E-07,2.81E-07,0.00121,1.02E-05,0.999,FALSE
IC110907A,118660,61529737,04:14.8,55811.79462,gfu-gold,196.08,9.4,3.91,2.68,1.55,1.06,186,1.15,0.506,6.13E-06,3.60E-09,1,9.42E-09,0.000146,FALSE
IC110929A,118738,995844,15:04.2,55833.26047,gfu-bronze,121.45,50.04,1.34,1.29,0.24,0.15,158,0.27,0.521,1.31E-06,9.41E-12,1,2.02E-10,1.45E-08,FALSE
IC110930A,118741,43101116,40:59.8,55834.44514,gfu-bronze,267.01,-4.44,1.19,1.14,0.6,0.79,160,1.53,0.429,4.21E-07,2.57E-10,1,1.20E-07,0.000362,FALSE
IC111012A,118778,61465314,48:17.6,55846.86687,gfu-bronze,172.13,44.7,1.4,1.39,0.79,0.45,115,0.57,0.434,9.51E-14,1.02E-07,8.37E-08,2.00E-09,1,FALSE
IC111120A,118973,22324184,03:53.9,55885.96104,gfu-bronze,26.06,9.82,1.89,3.16,1.4,1.36,159,1.61,0.42,0.00011,6.38E-10,1,2.52E-08,2.23E-06,FALSE
IC111120B,118973,25391094,21:37.8,55885.97335,gfu-bronze,356.84,-11.99,0.53,0.62,0.23,0.27,4969,0.6,0.292,1.46E-05,9.11E-06,0.000279,0.000298,0.999,TRUE
IC111208A,119097,49522606,15:15.4,55903.71893,gfu-bronze,165.19,38.49,7.03,4.13,3.67,3.49,123,0.4,0.446,2.38E-10,3.58E-08,2.98E-05,9.98E-05,1,FALSE
IC111209A,119101,32538906,57:56.3,55904.4569,gfu-bronze,99.98,20.42,1.19,2.02,1.6,2.02,108,2.64,0.335,1.95E-08,2.15E-10,1,4.19E-09,0.000149,FALSE
IC111213A,119125,14422170,32:43.3,55908.39772,gfu-bronze,247.85,0.56,1.71,1.58,1.46,1.42,164,1.81,0.408,1.61E-07,2.00E-08,0.000461,1.80E-05,1,FALSE
IC111216A,119136,66932419,38:39.9,55911.27685,gfu-gold,36.74,18.88,1.8,2.24,2.46,2.82,891,0.15,0.946,3.14E-12,9.74E-09,9.10E-06,1.61E-06,1,FALSE
IC111218A,119146,28561103,03:01.0,55913.33543,gfu-bronze,26.85,7.03,3.69,4.66,4.04,5.2,157,1.91,0.397,1.93E-06,9.40E-06,0.0102,0.86,0.13,FALSE
IC120301A,119739,41603205,21:57.3,55987.80691,gfu-gold,237.96,18.76,0.53,0.62,0.47,0.51,433,0.56,0.825,2.79E-06,7.35E-08,0.975,6.81E-07,0.0247,FALSE
IC120426A,120027,12133428,58:04.2,56043.41533,gfu-bronze,183.56,0.52,2.15,2.02,0.86,0.71,109,4.28,0.274,9.10E-08,2.59E-07,0.00197,4.31E-05,0.998,FALSE
IC120501A,120045,22615214,41:24.4,56048.57042,hese-gold,165.37,-71.51,7.01,5.36,3.53,2.68,85,1.88,0.464,0.000113,0.000613,0.0121,0.000465,0.987,FALSE
IC120515A,120157,59255331,00:59.3,56062.95902,gfu-gold,198.94,32,1.71,1.41,0.97,1.09,194,0.63,0.613,5.00E-05,3.36E-11,1,7.20E-13,1.89E-10,FALSE
IC120523A,120185,63879322,46:58.0,56070.57428,ehe-gold,171.08,26.44,0.66,1.41,0.46,0.37,213,1.44,0.525,4.58E-10,4.54E-06,1.54E-05,1.44E-07,1,FALSE
IC120523B,120186,1306178,19:39.5,56070.63865,gfu-bronze,343.78,15.48,4.92,4.48,2.38,1.54,168,1.25,0.49,1.49E-10,1.92E-08,5.48E-05,4.13E-06,1,FALSE
IC120529A,120205,73761892,01:50.6,56076.54295,gfu-bronze,176.48,22.87,6.64,5.93,2.7,1.77,126,1.6,0.416,3.70E-10,0.00679,3.77E-05,3.39E-05,0.993,FALSE
IC120601A,120244,21476686,20:01.4,56079.30557,gfu-bronze,119.31,14.79,2.02,0.92,0.62,0.73,137,1.87,0.395,1.29E-11,2.74E-08,3.60E-05,1.12E-07,1,FALSE
IC120605A,120260,65493286,42:33.9,56083.65456,gfu-bronze,152.58,36.38,1.89,2.42,1.54,1.47,107,1.26,0.385,2.60E-13,1.57E-10,2.25E-05,0.000149,1,FALSE
IC120611A,120309,20451977,44:24.3,56089.36417,gfu-bronze,39.95,-15.09,0.26,0.26,0.19,0.31,9220,0.41,0.244,1.81E-05,9.69E-05,0.000398,6.23E-05,0.999,TRUE
IC120807A,120535,24248640,58:17.5,56146.20715,gfu-gold,330.07,1.42,0.83,0.83,0.6,0.45,373,0.37,0.744,1.50E-07,9.72E-07,0.000993,0.00112,0.998,FALSE
IC120916A,120680,12284754,19:38.3,56186.3053,gfu-gold,182.24,3.88,1.36,1.71,0.67,0.82,174,1.6,0.438,1.30E-07,6.27E-08,0.00513,2.11E-05,0.995,FALSE
IC120922A,120708,53550535,11:02.3,56192.54933,ehe-gold,70.62,19.79,1.49,1.27,0.91,0.71,143,1.8,0.426,2.50E-07,1.06E-05,0.00589,8.60E-06,0.994,FALSE
IC121011A,120798,20915945,30:09.4,56211.77094,gfu-gold,205.14,-2.28,0.66,0.7,0.52,0.56,481,0.23,0.842,9.19E-07,2.12E-07,0.00126,7.44E-05,0.999,FALSE
IC121026A,120860,64513030,23:16.5,56226.5995,gfu-gold,169.8,27.91,1.32,1.41,0.85,0.88,961,0.16,0.926,1.22E-14,1.96E-09,1.20E-07,1.26E-05,1,FALSE
IC121103A,120884,64276946,10:49.8,56234.50752,gfu-bronze,123.18,6.05,0.92,0.97,0.64,0.56,112,3.88,0.276,5.39E-07,8.57E-07,0.00369,7.45E-05,0.996,FALSE
IC121115A,120935,29325450,55:42.3,56246.33035,gfu-bronze,225.7,8.88,1.01,1.19,0.94,0.95,116,2.82,0.319,8.44E-07,4.00E-08,0.157,4.47E-05,0.842,FALSE
IC130125A,121761,41853263,22:37.5,56317.26571,gfu-bronze,7.67,74.14,6.46,5.92,3.36,2.82,165,0.25,0.531,9.59E-07,8.55E-10,1,7.32E-09,3.08E-06,FALSE
IC130125B,121762,56963417,48:58.2,56317.65901,gfu-bronze,280.46,-1.9,1.89,2.33,0.93,0.82,114,3.54,0.31,1.00E-06,1.78E-06,0.0105,0.00011,0.989,FALSE
IC130127A,121769,40349510,43:11.0,56319.27999,gfu-gold,352.97,-1.98,1.32,1.01,0.97,0.9,235,0.65,0.61,2.91E-06,2.17E-07,0.00167,0.000384,0.998,FALSE
IC130208A,121840,62872761,54:50.0,56331.12141,gfu-bronze,48.38,-13.32,0.31,0.31,0.23,0.23,2268,0.46,0.317,8.12E-08,4.50E-07,0.000254,3.44E-06,1,TRUE
IC130316A,122055,5809789,39:49.8,56367.73599,gfu-bronze,303.41,54.68,2.98,3.55,1.77,1.59,105,0.72,0.377,1.61E-15,2.06E-09,5.75E-09,6.67E-10,1,FALSE
IC130318A,122060,56194427,49:44.1,56369.28454,gfu-bronze,13.45,20.62,0.79,0.88,1.44,0.99,106,2.83,0.327,1.95E-07,5.26E-09,0.998,2.96E-08,0.00196,FALSE
